Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Price EUR,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Форма (product.metafields.custom.application_form),За кого (product.metafields.custom.target_audience),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
A-derma дерматологичен почистващ сапун 100гр,a-derma-dermatologicen-pocistvas-sapun-100gr,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-DERMA Дерматологичен почистващ сапун e нежен сапун, който почиства кожата на тялото и лицето, без да я изсушава. Подходящ за всекидневна употреба от цялото семейство. Благодарение на ниското pH 6,5, което е адаптирано към pH на кожата, сапунът може да се използва както за почистване на тялото, така и за лице. Специалната формула съдържа уникална комбинация от</p> <h3>Състав</h3> <p>. Мляко от Овес Rhealba в комбинация с нежната измиваща база, спомагат за запазване на хидролипидния филм на кожата, като в същото време успокояват и я омекотяват.</p> <h3>Начин на употреба</h3> <p>Начин на приложение: Под душа или във ваната, нанесете на мокра кожа. Изплакнете обилно.</p> <h3>Противопоказания</h3> <p>Продуктът е само за външна употреба.</p> <p>Да няма пряк контакт с очите. При такъв изплакнете обилно с вода.</p> <p>Съхранявайте на сухо и прохладно място, далеч от пряка слънчева светлина.</p> <p>Съхранявайте далеч от деца.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282779285230</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Душ гелове, сапуни и продукти за баня, Сапуни, Сухи сапуни",TRUE,Active,5298,3282779285230,,,,,,,,,,14.30,7.31,,,TRUE,,shopify,11,deny,100,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5298/5298.webp,1,A-derma дерматологичен почистващ сапун 100гр,,FALSE,A-DERMA дерматологичен почистващ сапун 100гр | ViaPharma,"Купете A-derma дерматологичен почистващ сапун 100гр. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5298,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega allergo емолиентен балсам 200мл,a-derma-exomega-allergo-emolienten-balsam-200ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Allergo е стерилен емолиентен балсам, който има тройно успокояващо действие благодарение на екстракта от овес Rhealba® и технологията Biovet - успокоява сърбежа, намалява зачервяванията и раздразненията.Може да бъде използван срещу белези и против стрии. A-Derma Exomega Allergo е подходящ за лице и тяло. Намалява сухотата на кожата и укрепва кожната бариера.</p> <h3>Начин на употреба</h3> <p>Стъпка 1. Преди да нанесете балсама, почистете кожата с почистващ продукт Exomega Control.</p> <p>Стъпка 2. Сложете балсама на чисти ръце , затоплете го между дланите.</p> <p>Стъпка 3. Нанесете балсама върху кожата с помощта на масажни движения.</p> <p>Прилагайте A-Derma Exomega Allergo веднъж дневно.</p> <p>Предупреждение</p> <p>Продуктът е само за външна употреба. Не използвайте след изтичане на срока на годност.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149814</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Лосиони и балсами за тяло",TRUE,Active,5874,3282770149814,,,,,,,,,,47.59,24.33,,,TRUE,,shopify,11,deny,200,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5874/5874.webp,1,A-derma exomega allergo емолиентен балсам 200мл,,FALSE,A-DERMA exomega allergo емолиентен балсам 200мл | ViaPharma,"Купете A-derma exomega allergo емолиентен балсам 200мл. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Балсам,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5874,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega allergo емолиентен балсам 40мл,a-derma-exomega-allergo-emolienten-balsam-40ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Allergo е стерилен емолиентен балсам, който има тройно успокояващо действие благодарение на екстракта от овес Rhealba® и технологията Biovet - успокоява сърбежа, намалява зачервяванията и раздразненията.Може да бъде използван срещу белези и против стрии. A-Derma Exomega Allergo е подходящ за лице и тяло. Намалява сухотата на кожата и укрепва кожната бариера.</p> <h3>Начин на употреба</h3> <p>Стъпка 1. Преди да нанесете балсама, почистете кожата с почистващ продукт Exomega Control.</p> <p>Стъпка 2. Сложете балсама на чисти ръце , затоплете го между дланите.</p> <p>Стъпка 3. Нанесете балсама върху кожата с помощта на масажни движения.</p> <p>Прилагайте A-Derma Exomega Allergo веднъж дневно.</p> <h3>Противопоказания</h3> <p>Продуктът е само за външна употреба. Не използвайте след изтичане на срока на годност.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149807</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за лице, Серуми, коректори и други продукти за лице, Коректори и други продукти за лице",TRUE,Active,5865,3282770149807,,,,,,,,,,32.68,16.71,,,TRUE,,shopify,11,deny,40,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5865/5865.webp,1,A-derma exomega allergo емолиентен балсам 40мл,,FALSE,A-DERMA exomega allergo емолиентен балсам 40мл | ViaPharma,"Купете A-derma exomega allergo емолиентен балсам 40мл. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Балсам,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5865,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен балсам 200ml,a-derma-exomega-control-emolienten-balsam-200ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен балсам действа против раздразнения и сърбеж на много сухата кожа, склонна към атопичен дерматит. Разкошния балсам е подходящ за употреба от цялото семейство, включително и от бебета, още от деня им на раждане. Балсама действа успокояващо и омекотяващо на кожата, като същевременно я предпазва от повторни раздразнения. След нанасянето му кожата е копринено мека, гладка и със страхотно чувство за комфорт. Продуктът не съдържа аромати и консерванти.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Нанасяйте 2 пъти дневно върху сухите участъци на кожата на лицето и тялото след почистване. Не нанасяйте върху наранявания.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149715</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Лосиони и балсами за тяло",TRUE,Active,5350,3282770149715,,,,,,,,,,42.48,21.72,,,TRUE,,shopify,11,deny,200,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5350/5350.webp,1,A-derma exomega control емолиентен балсам 200ml,,FALSE,A-DERMA exomega control емолиентен балсам 200ml | ViaPharma,"Купете A-derma exomega control емолиентен балсам 200ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Балсам,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5350,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен балсам 400ml,a-derma-exomega-control-emolienten-balsam-400ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен балсам действа против раздразнения и сърбеж на много сухата кожа, склонна към атопичен дерматит. Разкошния балсам е подходящ за употреба от цялото семейство, включително и от бебета, още от деня им на раждане. Балсама действа успокояващо и омекотяващо на кожата, като същевременно я предпазва от повторни раздразнения. След нанасянето му кожата е копринено мека, гладка и със страхотно чувство за комфорт. Продуктът не съдържа аромати и консерванти.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Нанасяйте 2 пъти дневно върху сухите участъци на кожата на лицето и тялото след почистване. Не нанасяйте върху наранявания.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149722</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Лосиони и балсами за тяло",TRUE,Active,5351,3282770149722,,,,,,,,,,52.98,27.09,,,TRUE,,shopify,11,deny,400,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5351/5351.webp,1,A-derma exomega control емолиентен балсам 400ml,,FALSE,A-DERMA exomega control емолиентен балсам 400ml | ViaPharma,"Купете A-derma exomega control емолиентен балсам 400ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Балсам,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5351,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен крем 200ml,a-derma-exomega-control-emolienten-krem-200ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен крем за суха кожа, склонна към атопична екзема срещу разчесване, за лице и тяло, без аромат. Намалява сухотата, успокоява раздразненията. Може да се използва още от раждането, формула с 95% съставки с натурален произход. Емолиентен крем мигновено и дълготрайно успокоява, подхранва и подсилва кожната бариера. Много богата текстура с бързо попиване, оставя приятно усещане върху кожата и позволява бързо обличане след приложение. Само едно приложение дневно. 24ч. хидратация.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Нанасяйте 2 пъти дневно върху сухите участъци на кожата на лицето и тялото след почистване. Не нанасяйте върху наранявания.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149678</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Кремове за тяло",TRUE,Active,5348,3282770149678,,,,,,,,,,42.48,21.72,,,TRUE,,shopify,11,deny,200,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5348/5348.webp,1,A-derma exomega control емолиентен крем  200ml,,FALSE,A-DERMA exomega control емолиентен крем 200ml | ViaPharma,"Купете A-derma exomega control емолиентен крем 200ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Крем,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5348,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен крем 400ml,a-derma-exomega-control-emolienten-krem-400ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен крем за суха кожа, склонна към атопична екзема срещу разчесване, за лице и тяло, без аромат. Намалява сухотата, успокоява раздразненията. Може да се използва още от раждането, формула с 95% съставки с натурален произход. Емолиентен крем мигновено и дълготрайно успокоява, подхранва и подсилва кожната бариера. Много богата текстура с бързо попиване, оставя приятно усещане върху кожата и позволява бързо обличане след приложение. Само едно приложение дневно. 24ч. хидратация.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Нанасяйте 2 пъти дневно върху сухите участъци на кожата на лицето и тялото след почистване. Не нанасяйте върху наранявания.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149685</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Кремове за тяло",TRUE,Active,5349,3282770149685,,,,,,,,,,52.98,27.09,,,TRUE,,shopify,11,deny,400,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5349/5349.webp,1,A-derma exomega control емолиентен крем 400ml,,FALSE,A-DERMA exomega control емолиентен крем 400ml | ViaPharma,"Купете A-derma exomega control емолиентен крем 400ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Крем,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5349,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен пенещ се гел 500ml,a-derma-exomega-control-emolienten-penes-se-gel-500ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен пенещ се гел е специално създаден за много суха и атопичната кожа, за да я почиства и хидратира. Атопичният дерматит, или известен още като екзема е неприятно заболяване на кожата, което се характеризира със суха и раздразнена кожа, при която се наблюдава силен сърбеж, раздразнение и повишена чувствителност. Неприятното състояние няма открито лечение, но подходящата грижа може да облекчи симптомите. Формулата на гела за атопична кожа се състои от прецизно подбрани съставки, които осигуряват ежедневна хигиенна грижа както за възрастни, така и за деца и бебета. Активните съставки - кълнове от овес Rhealba и глицерина успокоява кожата, облекчават раздразненията и я омекотяват. Филаксеринът, който е комбинация от 2 съставки, извлечени от масло от вечерна иглика, богато на Омега 6 мастни киселини, и пчелно млечице (10 хидроксидеценова киселина) създава естествена защита на кожата срещу изсушаване. Благодарение на нежната измиваща баса и ниското pH 5.5 на гела кожата е почистена, като същевременно с това е запазила естествената си хидратация. След употребата на гела оставате с чувство за свежест и комфорт.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, нежни почистващи агенти, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Използвайте под душа или във ваната. Отмийте с достатъчно количество вода.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770143744</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Душ гелове, сапуни и продукти за баня, Душ гелове и измивни продукти за тяло, Други измивни продукти за тяло",TRUE,Active,5344,3282770143744,,,,,,,,,,40.68,20.80,,,TRUE,,shopify,11,deny,500,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5344/5344.webp,1,A-derma exomega control емолиентен пенещ се гел 500ml,,FALSE,A-DERMA exomega control емолиентен пенещ се гел 500ml | ViaPharma,"Купете A-derma exomega control емолиентен пенещ се гел 500ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Гел,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5344,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен почистващ гел 2 в 1 за коса и тяло 500ml,a-derma-exomega-control-emolienten-pocistvas-gel-2-v-1-za-kosa-i-tyalo-500ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен почистващ гел 2 в 1 за коса и тяло е специално създаден за много суха и атопичната кожа, за да я почиства и хидратира. Атопичният дерматит, или известен още като екзема е неприятно заболяване на кожата, което се характеризира със суха и раздразнена кожа, при която се наблюдава силен сърбеж, раздразнение и повишена чувствителност. Неприятното състояние няма открито лечение, но подходящата грижа може да облекчи симптомите. Формулата на гела за атопична кожа се състои от прецизно подбрани съставки, които осигуряват ежедневна хигиенна грижа както за възрастни, така и за деца и бебета. Активните съставки - кълнове от овес Rhealba и глицерина успокоява кожата, облекчават раздразненията и я омекотяват. Филаксеринът, който е комбинация от 2 съставки, извлечени от масло от вечерна иглика, богато на Омега 6 мастни киселини, и пчелно млечице (10 хидроксидеценова киселина) създава естествена защита на кожата срещу изсушаване. Благодарение на нежната измиваща баса и ниското pH 5.5 на гела кожата е почистена, като същевременно с това е запазила естествената си хидратация. След употребата на гела оставате с чувство за свежест и комфорт.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, нежни почистващи агенти, комплекс Filaxerine.</p> <h3>Начин на употреба</h3> <p>Използвайте под душа или във ваната. Отмийте с достатъчно количество вода.</p> <h3>Противопоказания</h3> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънчева светлина.</p> <p>За външна употреба, избягвайте контакт с очите.</p> <p>Съхранявайте при температура под 25 градуса.</p> <p>Да не се използва след изтичане на крайния срок.</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770144314</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Душ гелове, сапуни и продукти за баня, Душ гелове и измивни продукти за тяло, Други измивни продукти за тяло",TRUE,Active,5345,3282770144314,,,,,,,,,,40.68,20.80,,,TRUE,,shopify,11,deny,500,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5345/5345.webp,1,A-derma exomega control емолиентен почистващ гел 2 в 1 за коса и тяло 500ml,,FALSE,A-derma exomega control емолиентен почистващ гел 2 в 1 ... | ViaPharma,"Купете A-derma exomega control емолиентен почистващ гел 2 в 1 за коса и тяло 500ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Гел,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5345,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
A-derma exomega control емолиентен спрей 200ml,a-derma-exomega-control-emolienten-sprej-200ml,"<p><strong>Марка:</strong> A-DERMA</p> <h3>Описание</h3> <p>A-Derma Exomega Control Емолиентен спрей срещу разчесване за лице и тяло за суха кожа, склонна към атопия. Продуктът контролира усещанията за раздразнение, подходящ за новородени, деца и възрастни. Формула с 97% съставки с натурален произход и 360° мултипозиционен спрей (възможност за употреба при наклон под всеки ъгъл). Една апликация дневно осигурява мигновено успокояване и ефикасност срещу разчесване 48ч, продуктът се нанася лесно и бързо, попива мигновено и дава възможност за директно обличане. Екстрактът от кълнове от Овес Rhealba® + BioVect® има успокояващо и антииритативно действие, Filaxerine® + Vitamine B3 възстановяват кожната бариера, а глицеринът и триглицеридите хидратират и релипидират.</p> <h3>Състав</h3> <p>Екстракт от Кълнове от Овес Rhealba®, Глицерин и триглицериди, Filaxerine + Витамин B3.</p> <h3>Начин на употреба</h3> <p>1 апликация дневно. Напръскайте кожата от 15 cm разстояние. Не пръскайте в близост до очите.</p> <h3>Противопоказания</h3> <p>Внимание: Контейнер под налягане - може да експлодира при нагряване. Да се пази от топлина, нагорещени повърхности, искри, открит пламък, тютюнопушене и други източници на запалване.</p> <p>Да се съхранява на сухо и прохладно място, далеч от деца и пряка слънче?????????????????????????????????????</p> <h3>Допълнителна информация</h3> <p>Производител : PIERRE FABRE</p> <p>Баркод : 3282770149777</p>",A-DERMA,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Други продукти за тяло",TRUE,Active,5346,3282770149777,,,,,,,,,,42.48,21.72,,,TRUE,,shopify,11,deny,200,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/5346/5346.webp,1,A-derma exomega control емолиентен спрей 200ml,,FALSE,A-DERMA exomega control емолиентен спрей 200ml | ViaPharma,"Купете A-derma exomega control емолиентен спрей 200ml. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Спрей,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,5346,,,new,FALSE,A-DERMA,"Козметика, красота и лична хигиена",,,
